Project ID,Title,Researchers,Legal Basis,Datasets Used,Secure Research Service,Accreditation Date
2020/046,Wage and employment dynamics,"Felix Ritchie,
University of West England
Carl Singleton,
University of Reading
Simon Heckenmueller,
Office for National Statistics
Alice McTiernan,
Office for National Statistics
Eduin Latimer, Low Pay Commission
Timothy Butcher, Low Pay Commission
Ronia Salman-Lord, Low Pay Commission
Hannah Hodge Waller, Office for National Statistics
Naomi Lynch, University of West England",Digital Economy Act (2017),"Office for National Statistics: Annual Survey for Hours and Earnings, New Earnings Survey, Annual Survey for Hours and Earnings / Census linked dataset, Business Structure Database, Annual Population Survey",Office for National Statistics Secure Research Service,5/29/2020
2020/047,Controlling COVID-19 through enhanced population surveillance and intervention : a platform approach,"Ronan Lyons,
Swansea University
Mohammad Al Sallakh,
Swansea University
Mohamed Mhereeg,
Swansea University
Timothy Osborne,
Swansea University
Owen Spencer,
ADS Group Limited
Mai Barry,
Public Health Wales
Diana Bright,
Public Health Wales
Jiao Song,
Public Health Wales
Sarah Aldridge,
Swansea University
Jun Han,
Health Data Research UK
Rhiannon Owen,
Swansea University
Laura Herbert,
Swansea University
Amrita Bandyopadhyay,
University of Birmingham
Sinead Brophy, Swansea University
Michael Seaborne, Swansea University
Malorie Perry,
Public Health Wales
Stuart Bedston, University of Lancaster
Gethin Jones,
Public Health Wales
Columbus Ohaeri,
Public Health Wales
James Adamson,
Public Health Wales
Jonathan Kennedy,
Swansea University
Jubril Adebayo, Swansea University
James Rafferty, Swansea University
Benjamin Gray, Public Health Wales
Melda Lois Griffiths, Public Health Wales
Harriet Hallum, Public Health Wales
Karen Hodgson, Public Health Wales
Jonathan Kennedy, Swansea University
Alex Lench, Public Health Wales
Bruce Burnett, Swansea University
Rose Hinchliffe, Cancer Research UK
Shane Johnson, Cancer Research UK
Martina Slapkova, Cancer Research UK
Sudha Arumugam, Swansea University
Phillippa Harris, Public Health Wales
Daniel Howorth, Public Health Wales
Oghogho Orife, Public Health Wales
Simon Cottrell, Public Health Wales
Annette Evans, Public Health Wales
Charlotte McDermott, Public Health Wales
Michaela James, Swansea University
Tamsin Long, Public Health Wales
Victoria McClure, Public Health Wales
William Midgley, Swansea University
Rebecca Thomas, Public Health Wales
Olivier Rouquette, Swansea University
Emily Marchant, Swansea University
Victoria Best, Swansea University",Digital Economy Act (2017),SAIL Databank: 2011 Census Data Welsh residents,SAIL,5/29/2020
2020/050,Inequalities in the 21st Century,"Xiaowei Xu,
Institute for Fiscal Studies
Lucy Kraftman, Institute for Fiscal Studies
Henry Overman, Institute for Fiscal Studies
Ross Warwick, Institute for Fiscal Studies",Digital Economy Act (2017),Office for National Statistics: Longitudinal Study of England and Wales,Office for National Statistics Secure Research Service,6/24/2020
2020/051,Measuring the impact of social distancing on firm productivity,"Theimo Fetzer,
University of Warwick/London School of Economics
Stephen Hansen,
Imperial College Business School/London School of Economics
Tim Besley, London School of Economics
Peter Lambert, London School of Economics",Digital Economy Act (2017),Office for National Statistics / HMRC / Companies House : Linked Inter-Departmental Business Register and Valuation Office Agency,Office for National Statistics Secure Research Service,6/18/2020
2020/052,Ethic inequalities in the UK,"Ross Warwick,
Institute for Fiscal Studies
Imran Rasul, University of London / University College
Lucinda Platt, Institute of Education",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey: Wellbeing, Labour Force Survey , Labour Force Survey & Labour Force Survey",Office for National Statistics Secure Research Service,07/09/2020
2020/053,The choice to become multinational: the driving incentives and the effect of the domestic economy,"Sarah Clifford, University of Oxford",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Foreign Direct Investment Survey, Business Enterprise Research and Development, Business Structure Database & Business Structure Database: Longitudinal",Office for National Statistics Secure Research Service,07/09/2020
2020/054,Evaluation of Mentoring for Growth,"Prabhat Vaze, Belmana
Sergei Plekhanov, SQW-Economic and Management Consultants
Richard Appell,
Be the Business
Joshua Sheppard,
Be the Business
Lorenzo Marzano,
Belmana",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database, Management and Expectations Survey, Annual Survey of Hours and Earnings & Business Impact of COVID-19 Survey
Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey",Office for National Statistics Secure Research Service,6/30/2020
2020/055,The role that start-ups and incumbents in explaining growth in the UK,"Julia Korosteleva,
University College London",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database, Low Carbon and Renewable Energy Economy Survey",Office for National Statistics Secure Research Service,07/02/2020
2020/057,Education and Spatial Mobility,"Christian Krekel,
London School of Economics",Digital Economy Act (2017),Office for National Statistics: Labour Force Survey,Office for National Statistics Secure Research Service,07/09/2020
2020/059,An evaluation of the Apprenticeships Levy using firm level data,"Lei Xu,
National Institute of Social and Economic Research
Stefan Speckesser, National Institute of Social and Economic Research",Digital Economy Act (2017),Department for Education: Employer Skills Surveys,Office for National Statistics Secure Research Service,07/09/2020
2020/060,"The benefits of digital technologies adoption on UK manufacturing businesses: Manufacturing renaissance, servitization and digital technologies' adoption","Chen Xu, Cardiff University",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Business Enterprise Research and Development & E-commerce Survey
Department for Business, Energy and Industrial Strategy: UK Innovation Survey",Office for National Statistics Secure Research Service,07/09/2020
2020/063,Identifying flare ups of the COVID-19 infection across the UK,"Andrew Engeli,
Joint Biosecurity Centre
David Braunholtz,
Office for National Statistics
Isabel Bennett,
Department of Health
Matthew Katz,
Department of Health
Kaveh Jahanshahi,
Office for National Statistics
Thomas O'Connor,
Office for National Statistics
Athanasios Anthopoulos,
Office for National Statistics
Fergus Cumming,
Bank of England
Russell Black,
Office for National Statistics
Josephine Park,
Department of Health
Alberta Ipser,
Office for National Statistics
Samuel Akinwumi,
Department of Health
Haroon Taylor,
Department of Health
William Ferguson,
Department of Health
Stanley Ng,
Department of Health
Brieuc Lehmann, University of Oxford
Harry Dunsford, PA Consulting
Jonathon Mellor, UK Health Security Agency
Haider Tari, UK Health Security Agency
Alex Glaser, Department of Health and Social Care
Paul Birrell, Public Health England",Digital Economy Act (2017),"Office for National Statistics: COVID-19 Weekly Opinions Survey, Labour Force Survey, ONS Death Registrations Data, 2020 Wave 1 Labour Force Survey
UCAS: Universities and Colleges Admissions Service Data
Office for National Statistics / University of Oxford: COVID-19 Infection Survey",Office for National Statistics Secure Research Service,07/08/2020
2020/064,Analysis of cash flow impacts on UK companies,"Sarah Venables, Bank of England
Danny Walker,
Bank of England",Digital Economy Act (2017),Office for National Statistics: Annual Business Survey,Office for National Statistics Secure Research Service,07/09/2020
2020/065,Economic Appraisal of Full Fibre Installation at Public Sites,"Matthew Daley, Greater London Authority
Alan Lewis, Greater London Authority
Malgorzata Lachowska, Greater London Authority",Digital Economy Act (2017),Office for National Statistics: Business Structure Database,Office for National Statistics Secure Research Service,8/14/2020
2020/066,Evaluation of the Competition and Markets Authority's Covid-19 taskforce,"Richard Havell,
Competition and Markets Authority",Digital Economy Act (2017),Office for National Statistics: Business Impact of COVID-19 Survey & Coronavirus and the social impacts on Great Britain,Office for National Statistics Secure Research Service,8/26/2020
2020/067,"Inequalities in the 21st Century: Transfers, tax and tax credits","Tom Waters,
Institute for Fiscal Studies
Thomas Wernham, Institute for Fiscal Studies",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey Person, Annual Population Survey Household,
Occupational differences in mortality from COVID-19,
Annual Survey of Hours and Earnings, Labour Force Survey Household, Labour Force Survey Person, Business Structure Database & Labour Force Survey Longitudinal",Office for National Statistics Secure Research Service,8/26/2020
