Project ID,Record ID,Title,Datasets Used,Accreditation Date,Year,gpt_status,substantive_domains,analytical_purpose,cross_cutting_tags,rationale,validation_error,raw_classification
2022/020,2022/020,Spatial and social variations in mortality by colorectal cancer in comparison with other causes of death in England and Wales,Office for National Statistics: Death Registrations in England and Wales,2022-02-17,2022,ok,Health & Social Care,Descriptive Monitoring,,Assigned Health & Social Care because the title focuses on mortality from colorectal cancer and other causes using death registrations; Descriptive Monitoring because it measures spatial and social variations in cause-specific mortality; no tag because the stated comparisons are spatial and social rather than a specified demographic equality lens.,,
2022/021,2022/021,Office for the Internal Market,Office for National Statistics: Business Insights and Conditions Survey,2022-02-23,2022,ok,Business & Productivity,Unclear from Register Entry,,"Assigned Business & Productivity because the Office for the Internal Market entry uses the Business Insights and Conditions Survey on business conditions; Unclear from Register Entry because the title does not reveal whether the work is monitoring, evaluation, impact analysis or another design; no tag because no demographic equity or COVID-19 lens is evident.",,
2022/022,2022/022,Births and birth outcomes in the women's prison estate,"Office for National Statistics: Births registrations, England and Wales",2022-09-03,2022,ok,Health & Social Care; Crime & Justice,Descriptive Monitoring,,Assigned Health & Social Care and Crime & Justice because the title studies births and birth outcomes within the women’s prison estate using births registration data; Descriptive Monitoring because it appears to count or characterise births and outcomes in that setting; no tag because the entry focuses on women prisoners as the study population rather than comparing demographic groups.,,
2022/023,2022/023,Universal Credit and Criminal Recidivism,"Ministry of Justice: MoJ Data First magistrates' court defendant case level dataset, MoJ Data First Prisoner Custodial Journey, MoJ Data First Linked Criminal Courts, Prisons, and Probation, MoJ Data First Crown Court Defendant, MoJ Data First Probation",2022-03-21,2022,ok,"Poverty, Wealth & Living Standards; Crime & Justice",Policy Evaluation / Impact Analysis,,"Assigned Poverty, Wealth & Living Standards and Crime & Justice because Universal Credit is a benefits system and the outcome is criminal recidivism using courts, prisons and probation data; Policy Evaluation / Impact Analysis because Universal Credit is a named policy whose consequences for recidivism are being studied; no tag because no demographic equity or COVID-19 lens is evident.",,
2022/024,2022/024,Ethnic disparities in infant mortality,"Office for National Statistics: Infant Mortality linkage of 2011 Census, Births and Deaths",2022-02-24,2022,ok,Health & Social Care,Descriptive Monitoring,Demographic disparities / equity tag,"Assigned Health & Social Care because the title focuses on infant mortality using linked census, births and deaths data; Descriptive Monitoring because it measures ethnic disparities in infant mortality; Demographic disparities / equity tag because ethnicity is the central comparison in the title.",,
2022/025,2022/025,Decomposition of life expectancy inequality trends during period of English Health Inequalities Strategy 1997-2010,"Office for National Statistics: Death Registrations, England and Wales",2022-04-05,2022,ok,Health & Social Care,Descriptive Monitoring,,Assigned Health & Social Care because the title analyses life expectancy inequality trends using ONS death registrations in the context of the English Health Inequalities Strategy; Descriptive Monitoring because it decomposes trends rather than estimating a specific policy effect; no tag because the entry indicates inequality trends but not a central comparison across demographic or equality-relevant groups.,,
2022/026,2022/026,An investigation into the location decisions of young professionals in urban areas,"Office for National Statistics: Annual Survey of Hours and Earnings, Business Structure Database, Crime Survey for England and Wales
Institute for Economic and Social Research:
Understanding Society: Waves 1-10 and Harmonised BHPS Geography files, Understanding Society",2022-02-14,2022,ok,Housing & Planning; Migration & Demographics,Outcome Tracking,,"Assigned Housing & Planning and Migration & Demographics because the title focuses on location decisions of young professionals in urban areas, supported by geography, household, crime, earnings, and business datasets; Outcome Tracking because it implies analysing factors associated with location choices; no tag because young professionals define the study population rather than a central demographic disparity comparison.",,
2022/027,2022/027,Evaluation of the Strength in Places Fund,"Office for National Statistics: Annual Business Survey, Annual Survey of Hours and Earnings, Business Structure Database
Department for Business, Energy & Industrial Strategy: UK Innovation Survey",2022-02-18,2022,ok,Business & Productivity,Policy Evaluation / Impact Analysis,,"Assigned Business & Productivity because the Strength in Places Fund is evaluated using business, employment, and innovation datasets including the Business Structure Database, Annual Business Survey, and UK Innovation Survey; Policy Evaluation / Impact Analysis because the title explicitly states an evaluation of a named fund; no tag because no demographic disparity or pandemic lens is indicated.",,
2022/028,2022/028,Changing incentives for the investment in higher education under wage polarisation,"DfE, DWP and HMRC: LEO via SRS Iteration 1 Standard Extract",2022-03-25,2022,ok,Education & Skills; Labour Market & Employment,Outcome Tracking,,"Assigned Education & Skills and Labour Market & Employment because the title concerns investment in higher education under wage polarisation and uses LEO education, employment, and earnings data; Outcome Tracking because it links higher-education investment incentives with labour-market wage conditions and outcomes; no tag because no demographic disparity or pandemic lens is indicated.",,
2022/029,2022/029,The Value of Higher Education Phase 2,"DfE, DWP and HMRC: LEO via SRS Iteration 1 Standard Extract",2022-02-16,2022,ok,Education & Skills; Labour Market & Employment,Outcome Tracking,,"Assigned Education & Skills and Labour Market & Employment because the title concerns the value of higher education and uses LEO linked education, employment, and earnings records; Outcome Tracking because the project is framed around downstream value or returns associated with higher education; no tag because no demographic disparity or pandemic lens is indicated.",,
